"itemID","name","description","category","price","restaurantID","vegetarian","vegan","milk","eggs","peanuts","treeNuts","soy","wheatGluten","fish","shellFish"
"null","Tortillas","null","Main Wrap","null","bar-burrito","n","n","t","n","n","n","n","c","n","n"
"null","Hard Tacos","null","Main Wrap","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
"null","Soft Tacos","null","Main Wrap","null","bar-burrito","n","n","t","n","n","n","n","c","n","n"
"null","Tortilla Chips","null","Main Wrap","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
"null","Lime Rice","null","Rice and Beans","null","bar-burrito","n","n","n","n","n","n","n","t","n","n"
"null","Mex Rice","null","Rice and Beans","null","bar-burrito","n","n","n","n","n","n","n","t","n","n"
"null","Black Beans","null","Rice and Beans","null","bar-burrito","n","n","n","n","t","t","n","n","n","n"
"null","Pinto Beans","null","Rice and Beans","null","bar-burrito","n","n","n","n","t","t","n","n","n","n"
"null","Grilled Chicken*5","null","Meats","null","bar-burrito","c","c","n","n","n","n","c","n","n","n"
"null","Grilled Steak*5","null","Meats","null","bar-burrito","c","c","n","n","n","n","c","n","n","n"
"null","Shredded Pork","null","Meats","null","bar-burrito","c","c","n","n","t","t","n","n","n","n"
"null","Shredded Lamb","null","Meats","null","bar-burrito","c","c","n","n","t","t","n","n","n","n"
"null","Shredded Beef","null","Meats","null","bar-burrito","c","c","n","n","t","t","n","n","n","n"
"null","Diced Chorizo","null","Meats","null","bar-burrito","c","c","n","n","n","n","n","n","n","n"
"null","Mushrooms*6","null","Vegetairan","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
"null","Onions and peppers*6","null","Vegetairan","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
"null","Pico De Gallo","null","Salsa","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
"null","Ranchera","null","Salsa","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
"null","Chipotle","null","Salsa","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
"null","Mule Kick'r","null","Salsa","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
"null","Jalapenos","null","Extras","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
"null","Guacamole","null","Extras","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
"null","Sour Cream","null","Extras","null","bar-burrito","n","c","c","n","n","n","n","n","n","n"
"null","Cheese","null","Extras","null","bar-burrito","n","c","c","n","n","n","n","n","n","n"
"null","Cheese Sauce","null","Extras","null","bar-burrito","n","c","c","n","t","t","n","n","n","n"
"null","Crunchy Slaw","null","Extras","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
"null","Sliced Lettuce","null","Extras","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
"null","Spicy Pork","null","Extras","null","bar-burrito","c","c","n","n","t","t","n","n","n","n"
"null","Breakfast Egg","null","Extras","null","bar-burrito","n","n","n","c","n","n","n","n","n","n"
"null","Breakfast sausage","null","Extras","null","bar-burrito","c","c","c","n","n","n","c","c","n","n"
"null","Breakfast bacon","null","Extras","null","bar-burrito","c","c","n","n","n","n","n","n","n","n"
"null","Breakfast roll","null","Extras","null","bar-burrito","n","n","n","n","n","n","c","c","n","n"
"null","Diced Chorizo","null","Extras","null","bar-burrito","c","c","n","n","n","n","n","n","n","n"
"null","Chocolate sauce","null","Extras","null","bar-burrito","n","c","c","t","n","n","c","t","t","n"
"null","Churros","null","Extras","null","bar-burrito","n","n","n","n","n","n","n","c","n","n"
"null","Manomasa - chedder","null","Extras","null","bar-burrito","n","c","c","n","n","n","n","n","n","n"
"null","Manomasa - chipotle","null","Extras","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
"null","Manomasa - black pepper","null","Extras","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
"null","Homemade Lemonade","null","Extras","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
"null","Summer Salsa","null","Extras","null","bar-burrito","n","n","n","n","n","n","n","n","n","n"
