"itemID","name","description","category","price","restaurantID","vegetarian","vegan","milk","eggs","peanuts","treeNuts","soy","wheatGluten","fish","shellFish"
"null","Regular Hot Dog (not including sauces or toppings)","null","Menu Item","null","cineworld",,,"n","n","n","n","n","c","n","n"
"null","fully baked baguette sliced","null","Ingredient","null","cineworld",,,"n","n","n","n","n","c","n","n"
"null","90g reduced salt sausage","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Large Hot Dog (not including sauces or toppings)","null","Menu Item","null","cineworld",,,"n","n","n","n","n","c","n","n"
"null","fully baked baguette sliced","null","Ingredient","null","cineworld",,,"n","n","n","n","n","c","n","n"
"null","140g reduced salt sausage","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Regular Hot Dog (Halal) (not including sauces or toppings)","null","Menu Item","null","cineworld",,,"n","n","n","n","n","c","n","n"
"null","fully baked baguette sliced","null","Ingredient","null","cineworld",,,"n","n","n","n","n","c","n","n"
"null","90g Halal sausage","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Large Hot Dog (Halal) (not including sauces or toppings)","null","Menu Item","null","cineworld",,,"n","n","n","n","n","c","n","n"
"null","fully baked baguette sliced","null","Ingredient","null","cineworld",,,"n","n","n","n","n","c","n","n"
"null","140g Halal sausage","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Ketchup","null","Side","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Mustard","null","Side","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Crispy Onions","null","Side","null","cineworld",,,"n","n","n","n","n","c","n","n"
"null","Nachos","null","Side","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Cheese Dip","null","Side","null","cineworld",,,"c","n","n","n","n","c","n","n"
"null","Salsa Dip","null","Side","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Sour Cream Dip","null","Side","null","cineworld",,,"c","n","n","n","n","n","n","n"
"null","Jalapenos","null","Side","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Sweet Popcorn","null","Menu Item","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Corn Kernels","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Rapeseed Oil","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Sugar","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Salt Popcorn","null","Menu Item","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Corn Kernels","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Rapeseed Oil","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","PDV Salt","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Mixed Popcorn","null","Menu Item","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Corn Kernels","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Rapeseed Oil","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Sugar","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","PDV Salt","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Coca‐ Cola","null","Menu Item","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Coke Zero","null","Menu Item","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Diet Coke","null","Menu Item","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Franta Orange","null","Menu Item","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Sprite","null","Menu Item","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Sprite Zero","null","Menu Item","null","cineworld",,,"n","n","n","n","n","TBC","n","TBC"
"null","Lemonade (Cinema Bars)","null","Menu Item","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Raspberry Tango Ice Blast","null","Menu Item","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Cherry Tango Ice Blast","null","Menu Item","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Lemon Tango Ice Blast","null","Menu Item","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Nacho Grande","null","Menu Item","null","cineworld",,,"c","n","n","n","n","c","n","n"
"null","tortilla wrap","null","Ingredient","null","cineworld",,,"n","n","n","n","n","c","n","n"
"null","Nachos","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Mozzarella & cheddar mix","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Salsa","null","Ingredient","null","cineworld",,,"c","n","n","n","n","n","n","n"
"null","Guacamole","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Sour cream","null","Ingredient","null","cineworld",,,"c","n","n","n","n","n","n","n"
"null","Jalapenos","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Deli Orient","null","Menu Item","null","cineworld",,,"n","c","n","n","c","c","c","c"
