"Category","Name","Celery","Gluten","Crustaceans","Egg","Fish","Lupin","Milk","Molluscs","Mustard","Nuts","Peanuts","Sesame Seeds","Soya","Sulphur Dioxide"
"Menu Item","Regular Hot Dog (not including sauces or toppings)","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","fully baked baguette sliced","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","90g reduced salt sausage","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Large Hot Dog (not including sauces or toppings)","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","fully baked baguette sliced","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","140g reduced salt sausage","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Regular Hot Dog (Halal) (not including sauces or toppings)","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","fully baked baguette sliced","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","90g Halal sausage","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Large Hot Dog (Halal) (not including sauces or toppings)","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","fully baked baguette sliced","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","140g Halal sausage","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Side","Ketchup","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Side","Mustard","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"Side","Crispy Onions","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Side","Nachos","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Side","Cheese Dip","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"Side","Salsa Dip","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Side","Sour Cream Dip","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"Side","Jalapenos","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Sweet Popcorn","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Corn Kernels","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Rapeseed Oil","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Sugar","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Salt Popcorn","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Corn Kernels","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
