"Name","Category","Vegetarian","Vegan","Wheat","Rye","Barley","Oat","Gluten","Soya","Egg","Milk","Fish","Crustacean","Mollusc","Sulphite","Sesame","Celery","Mustard","Peanut","Lupin","Tree Nuts"
"Layered Carrot Cake","Cakes, Traybakes and Muffins","c","c","n","c","n","n","c","n","c","c","c","n","n","n","n","c","n","c","n","c"
"Layered Carrot Cake","Cakes, Traybakes and Muffins","c","n","c","n","n","n","c","c","c","c","n","n","n","n","c","n","c","n","n","c"
"Cherry Bakewell Tart","Cakes, Traybakes and Muffins","c","n","c","n","n","n","c","c","c","c","n","n","n","c","c","n","c","n","n","c"
"Triple Chocolate Muffin","Cakes, Traybakes and Muffins","c","n","c","n","c","c","n","c","c","c","n","n","n","c","c","n","n","n","n","c"
"Lemon Muffin","Cakes, Traybakes and Muffins","c","n","c","n","c","c","n","c","c","c","n","n","n","c","c","n","n","n","n","c"
"Raspberry And White Chocolate Muffin","Cakes, Traybakes and Muffins","c","n","c","n","c","c","n","c","c","c","n","n","n","n","c","n","n","n","n","c"
"Chocolate Tiffin","Cakes, Traybakes and Muffins","c","n","c","n","n","n","c","c","n","c","n","n","n","n","n","n","n","n","n","c"
"Raspberry And Almond Bake","Cakes, Traybakes and Muffins","c","n","c","n","n","n","c","n","c","c","n","n","n","n","n","n","n","n","n","c"
"Granola Square","Cakes, Traybakes and Muffins","c","n","n","n","n","c","n","n","n","c","n","n","n","c","n","n","n","n","n","c"
"Lemon Tart","Cakes, Traybakes and Muffins","c","n","c","n","n","n","c","c","c","c","n","n","n","c","n","n","n","n","n","c"
"Caramel Shortbread","Cakes, Traybakes and Muffins","c","n","c","n","n","n","c","c","c","c","n","n","n","n","n","n","n","n","n","c"
"Chocolate Brownie","Cakes, Traybakes and Muffins","c","n","c","n","n","n","c","c","c","c","n","n","n","n","n","n","n","n","n","c"
"Chocolate Cornflake Crunch","Cakes, Traybakes and Muffins","c","n","c","n","c","n","c","c","c","c","n","n","n","n","n","n","n","n","n","c"
"Lemon Drizzle Loaf Cake","Cakes, Traybakes and Muffins","c","n","c","n","n","n","c","c","c","c","n","n","n","n","c","n","c","n","n","c"
"Coffee & Walnut Loaf Cake","Cakes, Traybakes and Muffins","c","n","c","n","n","n","c","c","c","c","n","n","n","n","c","n","c","n","n","c"
"Salted Caramel Muffin","Cakes, Traybakes and Muffins","c","n","c","n","c","c","n","c","c","c","n","n","n","c","c","n","n","n","n","c"
"Caramel Crisp","Cakes, Traybakes and Muffins","c","n","c","n","c","c","n","c","c","c","n","n","n","n","n","n","n","n","n","c"
"Blueberry Muffin","Cakes, Traybakes and Muffins","c","n","c","n","c","c","n","c","c","c","n","n","n","n","n","n","n","n","n","c"
"Banana Bread Loaf Cake","Cakes, Traybakes and Muffins","c","n","c","n","n","n","c","c","c","c","n","n","n","n","c","n","c","n","n","c"
"Malty Chocolate Crunch","Cakes, Traybakes and Muffins","c","n","c","n","c","c","n","c","n","c","n","n","n","n","n","n","n","n","n","c"
"Yoghurt with Raspberry & Strawberry Compote","Impulse","c","n","c","n","n","n","c","c","c","c","n","n","n","c","n","n","n","n","n","c"
"Fruity Crumble (Gluten Dairy Free, contains GF oats)","Impulse","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","c"
"Mini Shortbread Bites","Impulse","c","n","c","n","n","n","c","c","c","c","n","n","n","c","c","n","n","n","n","c"
"Fruity Flapjack","Impulse","c","n","n","n","n","c","n","n","n","c","n","n","n","c","n","n","n","n","n","c"
"Nutty Flapjack","Impulse","c","n","n","n","n","c","n","n","n","c","n","n","n","n","n","n","n","n","n","c"
