"itemID","name","description","category","price","restaurantID","vegetarian","vegan","milk","eggs","peanuts","treeNuts","soy","wheatGluten","fish","shellFish"
1,"Layered Carrot Cake",,"Cakes, Traybakes and Muffins",-1,"costa","c","c","c","c","c","c","n","c","c","n"
2,"Layered Carrot Cake",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","c","c","n","n"
3,"Cherry Bakewell Tart",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","c","c","n","n"
4,"Triple Chocolate Muffin",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","c","n","n","n"
5,"Lemon Muffin",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","c","n","n","n"
6,"Raspberry And White Chocolate Muffin",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","c","n","n","n"
7,"Chocolate Tiffin",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","n","n","c","c","c","n","n"
8,"Raspberry And Almond Bake",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","n","c","n","n"
9,"Granola Square",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","n","n","c","n","n","n","n"
10,"Lemon Tart",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","c","c","n","n"
11,"Caramel Shortbread",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","c","c","n","n"
12,"Chocolate Brownie",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","c","c","n","n"
13,"Chocolate Cornflake Crunch",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","c","c","n","n"
14,"Lemon Drizzle Loaf Cake",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","c","c","n","n"
15,"Coffee & Walnut Loaf Cake",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","c","c","n","n"
16,"Salted Caramel Muffin",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","c","n","n","n"
17,"Caramel Crisp",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","c","n","n","n"
18,"Blueberry Muffin",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","c","n","n","n"
19,"Banana Bread Loaf Cake",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","c","n","c","c","c","n","n"
20,"Malty Chocolate Crunch",,"Cakes, Traybakes and Muffins",-1,"costa","c","n","c","n","n","c","c","n","n","n"
21,"Yoghurt with Raspberry & Strawberry Compote",,"Impulse",-1,"costa","c","n","c","c","n","c","c","c","n","n"
22,"Fruity Crumble (Gluten Dairy Free, contains GF oats)",,"Impulse",-1,"costa","c","c","n","n","n","c","n","n","n","n"
23,"Mini Shortbread Bites",,"Impulse",-1,"costa","c","n","c","c","n","c","c","c","n","n"
24,"Fruity Flapjack",,"Impulse",-1,"costa","c","n","c","n","n","c","n","n","n","n"
25,"Nutty Flapjack",,"Impulse",-1,"costa","c","n","c","n","n","c","n","n","n","n"
