"","Winter 2017Beverage NutritionInformation*Beverage",,,,,,,,,,,,,,,
"",ESPRESSO,,,,,,,,,,,,,,,
"",Caffe Latte,Short,Skimmed,279,67,0.1,0.1,9.9,8.9,0.0,6.4,0.19,8.9,8.9,0.0,75
"",,,Semi Skimmed,399,95,3.5,2.3,9.4,8.4,0.0,6.3,0.18,8.4,8.4,0.0,75
"",,,Whole,474,113,5.8,3.3,9.1,8.1,0.0,6.1,0.18,8.1,8.1,0.0,75
"",,,Soya,314,75,2.7,0.3,6.6,4.1,0.7,5.3,0.21,4.1,N/A,4.1,75
"",,,Coconut,342,81,5.5,5.1,7.6,5.9,0.6,0.0,0.00,5.9,N/A,5.9,75
"",,Tall,Skimmed,427,102,0.2,0.2,15.1,14.1,0.0,9.9,0.30,14.1,14.1,0.0,150
"",,,Semi Skimmed,599,143,5.1,2.6,14.8,12.8,0.0,9.5,0.31,12.8,12.8,0.0,150
"",,,Whole,718,172,8.4,4.8,14.8,12.8,0.0,9.1,0.29,12.8,12.8,0.0,150
"",,,Soya,462,110,4.0,0.5,9.9,5.9,1.0,7.7,0.24,5.9,N/A,5.9,150
"",,,Coconut,508,121,8.0,7.5,11.7,8.6,0.9,0.0,0.00,8.6,N/A,8.6,150
"",,Grande,Skimmed,550,131,0.3,0.2,19.5,17.5,0.0,12.6,0.37,17.5,17.5,0.0,150
"",,,Semi Skimmed,786,188,7.0,4.4,18.5,16.5,0.0,12.4,0.36,16.5,16.5,0.0,150
"",,,Whole,934,223,11.5,6.6,17.9,16.0,0.0,12.1,0.35,16.0,16.0,0.0,150
"",,,Soya,618,148,5.3,0.7,12.9,8.0,1.3,10.4,0.41,8.0,N/A,8.0,150
"",,,Coconut,684,163,11.0,10.3,15.2,11.8,1.3,0.0,0.00,11.8,N/A,11.8,150
"",,Venti,Skimmed,729,174,0.4,0.3,24.9,22.9,0.0,16.7,0.49,22.9,22.9,0.0,225
"",,,Semi Skimmed,1038,248,9.2,4.6,25.1,22.2,0.0,16.3,0.55,22.2,22.2,0.0,225
"",,,Whole,1250,299,15.0,8.6,25.1,22.2,0.0,15.6,0.50,22.2,22.2,0.0,225
"",,,Soya,772,185,6.7,0.9,16.6,10.2,1.6,12.8,0.40,10.2,N/A,10.2,225
"",,,Coconut,858,204,13.7,12.7,19.5,14.6,1.6,0.0,0.00,14.6,N/A,14.6,225
"",Fresh Filter Coffee,Short,,11,3,0.1,0.0,0.0,0.0,0.0,0.3,0.01,0.0,0.0,0.0,160
"",,Tall,16,4,0.1,0.0,0.0,0.0,0.0,0.5,0.02,0.0,0.0,0.0,240,
"",,Grande,21,5,0.1,0.0,0.0,0.0,0.0,0.6,0.02,0.0,0.0,0.0,320,
"",,Venti,26,6,0.1,0.0,0.0,0.0,0.0,0.7,0.03,0.0,0.0,0.0,400,
"",Espresso,Solo,,24,6,0.0,0.0,1.0,0.0,0.0,0.4,0.00,0.0,0.0,0.0,75
"",,Doppio,,48,11,0.0,0.0,2.0,0.0,0.0,0.7,0.00,0.0,0.0,0.0,150
"",Piccino,Doppio,,199,47,1.4,0.8,6.1,4.0,0.0,2.7,0.09,4.0,4.0,0.0,157
"",Espresso Macchiato,Solo,Skimmed,30,7,0.0,0.0,1.2,0.2,0.0,0.5,0.01,0.2,0.2,0.0,75
"",,,Semi Skimmed,33,8,0.1,0.1,1.2,0.2,0.0,0.5,0.01,0.2,0.2,0.0,75
"",,,Whole,35,8,0.2,0.1,1.2,0.2,0.0,0.5,0.01,0.2,0.2,0.0,75
"",,,Soya,31,7,0.1,0.0,1.1,0.1,0.0,0.5,0.01,0.1,0.0,0.0,75
"",,Doppio,Skimmed,55,13,0.0,0.0,2.4,0.3,0.0,1.0,0.01,0.3,0.3,0.0,150
"",,,Semi Skimmed,59,14,0.1,0.1,2.3,0.3,0.0,0.9,0.01,0.3,0.3,0.0,150
"",,,Whole,61,15,0.2,0.1,2.3,0.3,0.0,0.9,0.01,0.3,0.3,0.0,150
"",,,Soya,56,13,0.1,0.0,2.0,0.1,0.0,0.9,0.01,0.1,0.0,0.0,150
"",Caffe Americano,Short,,24,6,0.0,0.0,1.0,0.0,0.0,0.4,0.01,0.0,0.0,0.0,75
"",,Tall,,48,11,0.0,0.0,2.0,0.0,0.0,0.7,0.02,0.0,0.0,0.0,150
"",,Grande,,72,17,0.0,0.0,3.0,0.0,0.0,1.1,0.02,0.0,0.0,0.0,225
"",,Venti,,95,23,0.0,0.0,4.0,0.0,0.0,1.4,0.03,0.0,0.0,0.0,300
