""
"","WINTER 2017Fresh & Packaged FoodNutritional InformationPortionProduct DescriptionSize (g)",,,,,,,,,,,,,,,,,,,,,,,,
"",,,Vegetarian,Vegan,"WheatFree","GlutenFree",Milk Free,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit
"","Toast, Swirl & Buns",,,,,,,,,,,,,,,,,,,,,,,,
"",Luxury Fruit Toast,145,Y,N,N,N,N,1327,1924,314,455,7.1,10.3,2.6,3.8,54.8,79.5,27.2,39.4,3.4,4.9,7.8,11.3,0.37,0.54
"",Brioche Toast,120,Y,N,N,N,N,1500,1800,356,427,13.4,16.1,6.7,8.2,50.2,60.2,8.5,10.2,1.3,1.6,8.7,10.4,0.83,1.00
"",Chocolate Swirl,133,Y,N,N,N,N,1351,1797,321,427,13.0,17.4,6.4,8.5,47.4,63.0,20.5,27.3,3.5,4.6,7.2,9.6,0.58,0.77
"",Cinnamon Swirl,143,Y,N,N,N,N,1359,1984,323,472,10.2,14.9,4.0,5.8,49.1,71.7,18.4,26.9,2.6,3.8,7.4,10.8,0.42,0.60
"",Almond Swedish Bun,100,Y,N,N,N,N,1571,1571,374,374,14.4,14.4,7.9,7.9,51.2,51.2,14.6,14.6,1.2,1.2,9.2,9.2,0.71,0.71
"",Cinnamon Swedish Bun,100,Y,N,N,N,N,1565,1565,372,372,14.0,14.0,8.0,8.0,52.4,52.5,17.2,17.2,1.7,1.7,8.4,8.4,0.70,0.70
"","Bars, Biscuits, Shortbreads",,,,,,,,,,,,,,,,,,,,,,,,
"",Burnt Caramel Brownie,80,Y,N,N,N,N,1933,1546,462,370,27.2,21.8,16.4,13.1,48.5,38.8,42.0,33.6,2.1,1.7,4.6,3.7,0.40,0.30
"",Granola Bar,80,Y,N,Y,N,N,1815,1450,435,350,20.0,16.0,7.7,6.2,56.4,45.1,32.3,25.8,4.7,3.8,6.6,5.3,0.40,0.30
"",Chocolate Brownie,70,Y,N,Y,Y,N,1780,1245,425,300,28.3,19.8,16.0,11.2,37.2,26.0,31.3,21.9,2.7,1.9,4.9,3.5,0.40,0.30
"",Chocolate Chunk Shortbread Fairtrade,97,Y,N,N,N,N,2162,2076,518,497,30.2,28.9,18.9,18.1,53.5,51.4,21.8,20.1,3.1,2.9,6.2,5.9,0.10,0.10
"",Chocolate Caramel Shortbread,80,Y,N,N,N,N,2085,1668,499,399,27.9,22.3,17.0,13.6,57.5,46.0,33.4,26.7,,,5.5,4.4,0.33,0.26
"",Marshmallow Twizzle,35,N,N,N,N,N,1859,651,442,155,14.6,5.1,8.3,2.9,73.5,25.7,64.3,22.5,1.8,0.6,5.0,1.8,0.00,0.00
"",Cookies,,,,,,,,,,,,,,,,,,,,,,,,
"",Pecan & Chocolate Cookie,87,Y,N,N,N,N,2170,1888,519,452,30.5,26.5,15.3,13.3,53.8,46.8,30.1,26.2,2,1.7,6.3,5.5,0.34,0.3
"",Salted Caramel Cookie,79,Y,N,N,N,N,1840,1454,438,346,16.9,13.4,10.5,8.3,64.9,51.3,41.4,32.7,5.4,4.3,2.4,1.9,0.81,0.60
"",Nutella and Oat Cookie,82,Y,N,N,N,N,1954,1602,467,383,22.2,18.2,8.9,7.3,58.7,48.1,36.9,30.3,3.5,2.9,6.3,5.2,0.49,0.40
"",Milk Choc Chunk,79,Y,N,N,N,N,1970,1556,471,372,22.9,18.1,14.1,11.2,58.3,46.1,41.2,32.5,2.8,2.2,6.4,5.1,0.34,0.27
"","Cakes, Loaf Cakes & Mallow Tops",,,,,,,,,,,,,,,,,,,,,,,,
"",Lemon Loaf Cake,86,Y,N,N,N,N,1774,1526,424,364,23.5,20.2,6.6,5.7,47.3,40.7,29.4,25.3,1.6,1.4,5.0,4.3,0.50,0.40
"",Praline Crunch Loaf,90,Y,N,N,N,N,1792,1613,429,386,24.8,22.3,5.0,4.5,43.4,39.1,27.9,25.1,2.0,1.8,7.1,6.4,0.63,0.60
"",Marble Loaf Cake,90,Y,N,N,N,N,1794,1615,429,386,23.8,21.4,6.8,6.1,47.9,43.1,29.4,26.5,1.7,1.5,5.0,4.5,0.72,0.64
"",Carrot Cake,154,Y,N,N,N,N,1756,2718,421,648,21.1,32.4,4.3,6.5,54.0,83.2,40.7,62.7,1.0,1.5,3.9,6.0,0.46,0.70
"",Cookies & Cream Cake,147,Y,N,N,N,N,1793,2636,428,629,19.1,28.1,7.0,10.3,59.1,86.9,48.1,70.7,1.8,2.6,4.7,6.9,0.58,0.85
"",Mallow Top - Malted Milk Chocolate,110,N,N,N,N,N,1810,1991,432,475,22.3,24.5,12.6,13.9,52.2,57.4,40.3,44.3,1.5,1.7,4.8,5.3,0.50,0.60
